epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,81.3772,0.50003,0.398,0.91068,0.98846,0.99587,0.99454,0.94372,0.39308,0.29406,0.83659,0.00103288,0.00103288,0.00103288
58,82.8097,0.46886,0.38196,0.90767,0.88867,0.95494,0.95498,0.86209,0.45635,0.36949,0.86525,0.00102581,0.00102581,0.00102581
59,84.1519,0.52588,0.45031,0.95083,0.9766,0.96195,0.97795,0.90741,0.40991,0.3373,0.84433,0.00101873,0.00101873,0.00101873
60,85.5133,0.48002,0.39668,0.9072,0.96833,0.96078,0.97627,0.83994,0.54059,0.39563,0.91866,0.00101166,0.00101166,0.00101166
61,86.8644,0.52915,0.42924,0.92929,0.92509,0.96078,0.96985,0.81951,0.51041,0.44536,0.89795,0.00100459,0.00100459,0.00100459
62,88.2067,0.49269,0.39455,0.91285,0.99118,0.98039,0.99065,0.90343,0.43311,0.32867,0.85681,0.000997513,0.000997513,0.000997513
63,89.5726,0.48366,0.37459,0.89965,0.99557,1,0.995,0.91682,0.4323,0.2741,0.8479,0.00099044,0.00099044,0.00099044
64,90.9392,0.47085,0.35244,0.91715,0.98485,1,0.995,0.94204,0.37543,0.26887,0.82635,0.000983366,0.000983366,0.000983366
65,92.3227,0.48006,0.37974,0.92686,0.95392,1,0.98653,0.91288,0.38075,0.27984,0.82961,0.000976293,0.000976293,0.000976293
66,93.9247,0.48472,0.36294,0.92641,0.95486,1,0.99114,0.93538,0.39484,0.27592,0.83096,0.000969219,0.000969219,0.000969219
67,95.3028,0.47724,0.36488,0.91954,0.96075,1,0.98989,0.93858,0.35186,0.28206,0.82105,0.000962146,0.000962146,0.000962146
68,96.6931,0.46002,0.3662,0.92752,0.99354,1,0.995,0.94413,0.3723,0.26827,0.82455,0.000955072,0.000955072,0.000955072
69,98.1613,0.45294,0.35308,0.90595,0.99676,1,0.995,0.93875,0.37981,0.25696,0.82835,0.000947999,0.000947999,0.000947999
70,99.5454,0.4484,0.37055,0.90948,0.99521,1,0.995,0.93257,0.39092,0.26444,0.82585,0.000940925,0.000940925,0.000940925
71,100.931,0.46153,0.36396,0.89627,0.99575,0.99808,0.995,0.95199,0.38003,0.26741,0.82469,0.000933851,0.000933851,0.000933851
72,102.405,0.46818,0.35414,0.9039,0.99442,1,0.995,0.95098,0.36228,0.2891,0.81744,0.000926778,0.000926778,0.000926778
73,103.78,0.47966,0.37383,0.93611,0.99396,1,0.995,0.9527,0.358,0.26123,0.81659,0.000919704,0.000919704,0.000919704
74,105.237,0.4297,0.32588,0.90415,0.99564,1,0.995,0.94911,0.37548,0.26293,0.81842,0.000912631,0.000912631,0.000912631
75,106.644,0.47218,0.35235,0.91745,0.99461,1,0.995,0.93013,0.37481,0.26754,0.81803,0.000905557,0.000905557,0.000905557
76,108.233,0.42111,0.32648,0.88539,0.97861,1,0.9945,0.94082,0.36702,0.29216,0.81653,0.000898484,0.000898484,0.000898484
77,109.608,0.44555,0.3343,0.91656,0.97769,0.98765,0.99359,0.93064,0.379,0.34624,0.82069,0.00089141,0.00089141,0.00089141
78,110.998,0.42981,0.34231,0.89911,0.94576,0.97128,0.98066,0.91815,0.38319,0.37331,0.82886,0.000884337,0.000884337,0.000884337
79,112.387,0.44739,0.34609,0.92132,0.99445,0.99416,0.995,0.93064,0.40794,0.27576,0.84214,0.000877263,0.000877263,0.000877263
